ECS_Version,Indexed,Field_Set,Field,Type,Level,Normalization,Example,Description
8.11.0,true,agent,agent.host.architecture,keyword,core,,x86_64,Operating system architecture.
8.11.0,true,agent,agent.host.ip,ip,core,array,,Host ip addresses.
8.11.0,true,agent,agent.id,keyword,core,,8a4f500d,Unique identifier of this agent.
8.11.0,true,agent,agent.name,keyword,core,,foo,Custom name of the agent.
8.11.0,true,agent,agent.version,keyword,core,,6.0.0-rc2,Version of the agent.
8.11.0,true,host,host.mac,keyword,core,array,"[""00-00-5E-00-53-23"", ""00-00-5E-00-53-24""]",Host MAC addresses.
8.11.0,true,host,host.network.egress.bytes,long,extended,,,The number of bytes sent on all network interfaces.
8.11.0,true,host,host.network.egress.drops,long,custom,,,Number of dropped transmitted packets.
8.11.0,true,host,host.network.egress.errors,long,custom,,,Number of transmission errors.
8.11.0,true,host,host.network.egress.packets,long,extended,,,The number of packets sent on all network interfaces.
8.11.0,true,host,host.network.ingress.bytes,long,extended,,,The number of bytes received on all network interfaces.
8.11.0,true,host,host.network.ingress.drops,long,custom,,,Number of dropped received packets.
8.11.0,true,host,host.network.ingress.errors,long,custom,,,Number of reception errors.
8.11.0,true,host,host.network.ingress.packets,long,extended,,,The number of packets received on all network interfaces.
8.11.0,true,interface,interface.alias,keyword,extended,,outside,Interface alias
8.11.0,true,interface,interface.mtu,long,custom,,,Maximum transmission unit size.
8.11.0,true,interface,interface.name,keyword,extended,,eth0,Interface name
8.11.0,true,interface,interface.state,keyword,custom,,,State of the network interface.
8.11.0,true,interface,interface.type,keyword,custom,,,Interface type.
8.11.0,true,wazuh,wazuh.cluster.name,keyword,custom,,,Wazuh cluster name.
8.11.0,true,wazuh,wazuh.cluster.node,keyword,custom,,,Wazuh cluster node name.
8.11.0,true,wazuh,wazuh.schema.version,keyword,custom,,,Wazuh schema version.
