ECS_Version,Indexed,Field_Set,Field,Type,Level,Normalization,Example,Description
8.11.0,true,agent,agent.host.architecture,keyword,core,,x86_64,Operating system architecture.
8.11.0,true,agent,agent.host.ip,ip,core,array,,Host ip addresses.
8.11.0,true,agent,agent.id,keyword,core,,8a4f500d,Unique identifier of this agent.
8.11.0,true,agent,agent.name,keyword,core,,foo,Custom name of the agent.
8.11.0,true,agent,agent.version,keyword,core,,6.0.0-rc2,Version of the agent.
8.11.0,true,process,process.args,keyword,extended,array,"[""/usr/bin/ssh"", ""-l"", ""user"", ""10.0.0.16""]",Array of process arguments.
8.11.0,true,process,process.args_count,long,extended,,4,Length of the process.args array.
8.11.0,true,process,process.command_line,keyword,extended,,/usr/bin/ssh -l user 10.0.0.16,Full command line that started the process.
8.11.0,true,process,process.name,keyword,extended,,ssh,Process name.
8.11.0,true,process,process.parent.pid,long,core,,4242,Process id.
8.11.0,true,process,process.pid,long,core,,4242,Process id.
8.11.0,true,process,process.start,date,extended,,2016-05-23T08:05:34.853Z,The time the process started.
8.11.0,true,process,process.state,keyword,custom,,,Current process state
8.11.0,true,process,process.stime,long,custom,,,System mode CPU time used
8.11.0,true,process,process.utime,long,custom,,,User mode CPU time used
8.11.0,true,wazuh,wazuh.cluster.name,keyword,custom,,,Wazuh cluster name.
8.11.0,true,wazuh,wazuh.cluster.node,keyword,custom,,,Wazuh cluster node name.
8.11.0,true,wazuh,wazuh.schema.version,keyword,custom,,,Wazuh schema version.
