ECS_Version,Indexed,Field_Set,Field,Type,Level,Normalization,Example,Description
8.11.0,true,agent,agent.host.architecture,keyword,core,,x86_64,Operating system architecture.
8.11.0,true,agent,agent.host.ip,ip,core,array,,Host ip addresses.
8.11.0,true,agent,agent.id,keyword,core,,8a4f500d,Unique identifier of this agent.
8.11.0,true,agent,agent.name,keyword,core,,foo,Custom name of the agent.
8.11.0,true,agent,agent.version,keyword,core,,6.0.0-rc2,Version of the agent.
8.11.0,true,host,host.architecture,keyword,core,,x86_64,Operating system architecture.
8.11.0,true,host,host.hostname,keyword,core,,,Hostname of the host.
8.11.0,true,host,host.os.build,keyword,custom,,,Build number of the OS
8.11.0,true,host,host.os.codename,keyword,custom,,,OS codename
8.11.0,true,host,host.os.distribution.release,keyword,custom,,,Distribution-specific release information
8.11.0,true,host,host.os.full,keyword,extended,,Mac OS Mojave,"Operating system name, including the version or code name."
8.11.0,true,host,host.os.kernel.name,keyword,custom,,,System kernel name
8.11.0,true,host,host.os.kernel.release,keyword,custom,,,Kernel release version
8.11.0,true,host,host.os.kernel.version,keyword,custom,,,Kernel version
8.11.0,true,host,host.os.major,keyword,custom,,,Major version number
8.11.0,true,host,host.os.minor,keyword,custom,,,Minor version number
8.11.0,true,host,host.os.name,keyword,extended,,Mac OS X,"Operating system name, without the version."
8.11.0,true,host,host.os.patch,keyword,custom,,,Patch level of the OS
8.11.0,true,host,host.os.platform,keyword,extended,,darwin,"Operating system platform (such centos, ubuntu, windows)."
8.11.0,true,host,host.os.type,keyword,extended,,macos,"Which commercial OS family (one of: linux, macos, unix, windows, ios or android)."
8.11.0,true,host,host.os.version,keyword,extended,,10.14.1,Operating system version as a raw string.
8.11.0,true,wazuh,wazuh.cluster.name,keyword,custom,,,Wazuh cluster name.
8.11.0,true,wazuh,wazuh.cluster.node,keyword,custom,,,Wazuh cluster node name.
8.11.0,true,wazuh,wazuh.schema.version,keyword,custom,,,Wazuh schema version.
